Algoritmo,Tamanho,Cenario,Tempo(ns),Tempo(ms),Comparacoes,Atribuicoes
HeapSort,100,QUASE_ORDENADO,6300,0,0063,1078,1878
BubbleSort,1000,QUASE_ORDENADO,350900,0,3509,499500,190248
InsertionSort,1000,QUASE_ORDENADO,55000,0,0550,64415,65414
SelectionSort,1000,QUASE_ORDENADO,988800,0,9888,499500,2997
QuickSort,1000,QUASE_ORDENADO,43000,0,0430,10974,20623
MergeSort,1000,QUASE_ORDENADO,52400,0,0524,7906,19952
HeapSort,1000,QUASE_ORDENADO,59900,0,0599,17386,28674
BubbleSort,10000,QUASE_ORDENADO,34561700,34,5617,49995000,16738548
InsertionSort,10000,QUASE_ORDENADO,4264700,4,2647,5589513,5599514
SelectionSort,10000,QUASE_ORDENADO,102750400,102,7504,49995000,29997
QuickSort,10000,QUASE_ORDENADO,517700,0,5177,164462,321584
MergeSort,10000,QUASE_ORDENADO,897200,0,8972,115306,267232
HeapSort,10000,QUASE_ORDENADO,738000,0,7380,242523,390498
BubbleSort,100000,QUASE_ORDENADO,4864679700,4864,6797,4999950000,1734135798
InsertionSort,100000,QUASE_ORDENADO,459079400,459,0794,578145265,578245264
SelectionSort,100000,QUASE_ORDENADO,10301307200,10301,3072,4999950000,299997
QuickSort,100000,QUASE_ORDENADO,6202500,6,2025,2019255,3644546
MergeSort,100000,QUASE_ORDENADO,7602700,7,6027,1485302,3337856
HeapSort,100000,QUASE_ORDENADO,8646400,8,6464,3095304,4907880
